id,search_keyword,search_type,search_data,search_link,is_active,created_by_id,modified_by_id,created_date,modified_date
1,attendance,FORM,Employee Attendance,/hrms_attendance/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
2,employee attendance,FORM,Employee Attendance,/hrms_attendance/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
3,view attendance,FORM,Employee Attendance,/hrms_past_attendance/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
4,past attendance,FORM,Employee Attendance,/hrms_past_attendance/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
5,load data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
6,bulk load data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
7,import data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
8,import test data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
9,import master data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
10,data master,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
11,data import,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
12,bulk data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
13,load bulk data,FORM,Data Upload - App Admin,/data_mgt_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
14,employee report,FORM,Employee Reports,/hrms_reports/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
15,attendance report,FORM,Employee Attendance Report,/hrms_reports/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
16,leave report,FORM,Employee Leave Report,/hrms_reports/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
17,employee,FORM,Employee Details,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
18,staff,FORM,Employee Details,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
19,employee skills,FORM,Employee Skill Details,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
20,skills,FORM,Employee Skill Details,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
21,education qualification,FORM,Employee Education Details,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
22,education details,FORM,Employee Education Details,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
23,work experience,FORM,Employee Work Experience,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
24,professional experience,FORM,Employee Work Experience,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
25,certification,FORM,Employee Certification,/hrms_employee/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
26,employee details,FORM,Employee Details,/hrms_employee_list/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
27,personal details,FORM,Employee Details,/hrms_employee_list/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
28,identification ,FORM,Employee Details,/hrms_employee_list/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
29,permission,FORM,App Admin - System Permission,/permission_details/,TRUE,1,1,2/13/2018 16:27,2/13/2018 16:27
