id,created_date,modified_date,is_active,kpo_statement,kpo_outcome,kpo_target_date,kpo_performance_std,kpo_plan,created_by_id,kpo_role_id,modified_by_id
1,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and maintain high performance, reusable, and reliable code",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
2,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Ensure the best possible performance, quality, and responsiveness of the application",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
3,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Identify and correct bottlenecks and fix bugs,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
4,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Help maintain code quality, organization standards and automization",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
5,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with a team to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
6,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Learn and use new technologies and stay up to date on the latest technology updates.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
7,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Translate designs and wireframes into high quality code,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,2,1
8,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and maintain high performance, reusable, and reliable code",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,3,1
9,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Ensure the best possible performance, quality, and responsiveness of the application",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,3,1
10,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Identify and correct bottlenecks and fix bugs,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,3,1
11,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Help maintain code quality, organization standards and automization",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,3,1
12,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with a team to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,3,1
13,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Learn and use new technologies and stay up to date on the latest technology updates.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,3,1
